Year,State,District,In-migrants
1972 - 1976,Andaman And Nicobar Islands,Andamans,13692
1972 - 1976,Andaman And Nicobar Islands,Nicobar,1273
1972 - 1976,Andhra Pradesh,Anantapur,94610
1972 - 1976,Andhra Pradesh,Chittoor,92295
1972 - 1976,Andhra Pradesh,East Godavari,164240
1972 - 1976,Andhra Pradesh,Guntur,129068
1972 - 1976,Andhra Pradesh,Kadapa,65472
1972 - 1976,Andhra Pradesh,Krishna,130104
1972 - 1976,Andhra Pradesh,Kurnool,83182
1972 - 1976,Andhra Pradesh,Nellore,77552
1972 - 1976,Andhra Pradesh,Prakasam,68955
1972 - 1976,Andhra Pradesh,Srikakulam,59316
1972 - 1976,Andhra Pradesh,Visakhapatnam,113779
1972 - 1976,Andhra Pradesh,Vizianagaram,55850
1972 - 1976,Andhra Pradesh,West Godavari,134972
1972 - 1976,Arunachal Pradesh,Changlang,4485
1972 - 1976,Arunachal Pradesh,Dibang Valley,2337
1972 - 1976,Arunachal Pradesh,East Kameng,1199
1972 - 1976,Arunachal Pradesh,East Siang,1916
1972 - 1976,Arunachal Pradesh,Lohit,5247
1972 - 1976,Arunachal Pradesh,Lower Subansiri,5918
1972 - 1976,Arunachal Pradesh,Tawang,932
1972 - 1976,Arunachal Pradesh,Tirap,2414
1972 - 1976,Arunachal Pradesh,Upper Subansiri,996
1972 - 1976,Arunachal Pradesh,West Kameng,2670
1972 - 1976,Arunachal Pradesh,West Siang,2977
1972 - 1976,Chandigarh,Chandigarh,48877
1972 - 1976,Dadra And Nagar Haveli,Dadra And Nagar Haveli,3964
1972 - 1976,Daman And Diu,Daman,1703
1972 - 1976,Daman And Diu,Diu,833
1972 - 1976,Goa,North Goa,31868
1972 - 1976,Goa,South Goa,28785
1972 - 1976,Haryana,Ambala,38199
1972 - 1976,Haryana,Bhiwani,34050
1972 - 1976,Haryana,Faridabad,69328
1972 - 1976,Haryana,Gurgaon,37675
1972 - 1976,Haryana,Hisar,66125
1972 - 1976,Haryana,Jind,29179
1972 - 1976,Haryana,Kaithal,26631
1972 - 1976,Haryana,Karnal,27029
1972 - 1976,Haryana,Kurukshetra,22939
1972 - 1976,Haryana,Mahendragarh,20507
1972 - 1976,Haryana,Panipat,31568
1972 - 1976,Haryana,Rewari,19018
1972 - 1976,Haryana,Rohtak,59381
1972 - 1976,Haryana,Sirsa,34794
1972 - 1976,Haryana,Sonipat,23878
1972 - 1976,Haryana,Yamunanagar,27501
1972 - 1976,Himachal Pradesh,Bilaspur,10841
1972 - 1976,Himachal Pradesh,Chamba,11627
1972 - 1976,Himachal Pradesh,Hamirpur,13798
1972 - 1976,Himachal Pradesh,Kangra,49211
1972 - 1976,Himachal Pradesh,Kinnaur,2555
1972 - 1976,Himachal Pradesh,Kullu,7646
1972 - 1976,Himachal Pradesh,Lahaul And Spiti,771
1972 - 1976,Himachal Pradesh,Mandi,25968
1972 - 1976,Himachal Pradesh,Shimla,21690
1972 - 1976,Himachal Pradesh,Sirmaur,13476
1972 - 1976,Himachal Pradesh,Solan,15711
1972 - 1976,Himachal Pradesh,Una,14805
1972 - 1976,Madhya Pradesh,Balaghat,44841
1972 - 1976,Madhya Pradesh,Betul,36026
1972 - 1976,Madhya Pradesh,Bhind,40185
1972 - 1976,Madhya Pradesh,Bhopal,62328
1972 - 1976,Madhya Pradesh,Chhatarpur,33883
1972 - 1976,Madhya Pradesh,Chhindwara,47814
1972 - 1976,Madhya Pradesh,Damoh,30423
1972 - 1976,Madhya Pradesh,Datia,10621
1972 - 1976,Madhya Pradesh,Dewas,38116
1972 - 1976,Madhya Pradesh,Dhar,45258
1972 - 1976,Madhya Pradesh,Guna,40661
1972 - 1976,Madhya Pradesh,Gwalior,36918
1972 - 1976,Madhya Pradesh,Hoshangabad,44001
1972 - 1976,Madhya Pradesh,Indore,53836
1972 - 1976,Madhya Pradesh,Jabalpur,88721
1972 - 1976,Madhya Pradesh,Jhabua,30904
1972 - 1976,Madhya Pradesh,Khandwa,48649
1972 - 1976,Madhya Pradesh,Khargone,58688
1972 - 1976,Madhya Pradesh,Mandla,34907
1972 - 1976,Madhya Pradesh,Mandsaur,49722
1972 - 1976,Madhya Pradesh,Morena,56547
1972 - 1976,Madhya Pradesh,Narsinghpur,22104
1972 - 1976,Madhya Pradesh,Panna,21035
1972 - 1976,Madhya Pradesh,Raisen,31991
1972 - 1976,Madhya Pradesh,Rajgarh,30103
1972 - 1976,Madhya Pradesh,Ratlam,32809
1972 - 1976,Madhya Pradesh,Rewa,44470
1972 - 1976,Madhya Pradesh,Sagar,54715
