Year,State,District,AvgSyllabicCount,In-migrants
1972 - 1976,Andhra Pradesh,Anantapur,2.7026377785999998,94610
1972 - 1976,Andhra Pradesh,Chittoor,2.4401870212,92295
1972 - 1976,Andhra Pradesh,East Godavari,3.6241104608,164240
1972 - 1976,Andhra Pradesh,Guntur,3.3987772279999997,129068
1972 - 1976,Andhra Pradesh,Kadapa,2.6150674384000006,65472
1972 - 1976,Andhra Pradesh,Krishna,3.3565069106000003,130104
1972 - 1976,Andhra Pradesh,Kurnool,2.4616515156,83182
1972 - 1976,Andhra Pradesh,Nellore,2.6070123118,77552
1972 - 1976,Andhra Pradesh,Prakasam,2.7750469231999997,68955
1972 - 1976,Andhra Pradesh,Srikakulam,2.6692459586000004,59316
1972 - 1976,Andhra Pradesh,Visakhapatnam,3.2731178352,113779
1972 - 1976,Andhra Pradesh,Vizianagaram,2.687674642,55850
1972 - 1976,Andhra Pradesh,West Godavari,3.5757492704,134972
1972 - 1976,Arunachal Pradesh,Changlang,2.1540694984,4485
1972 - 1976,Arunachal Pradesh,Dibang Valley,2.1263034358,2337
1972 - 1976,Arunachal Pradesh,East Kameng,1.8949517426,1199
1972 - 1976,Arunachal Pradesh,East Siang,2.0490146080000002,1916
1972 - 1976,Arunachal Pradesh,Lohit,2.3237737736,5247
1972 - 1976,Arunachal Pradesh,Lower Subansiri,1.8299549146,5918
1972 - 1976,Arunachal Pradesh,Papum Pare,2.0324349102,5918
1972 - 1976,Arunachal Pradesh,Tawang,1.8747211044,932
1972 - 1976,Arunachal Pradesh,Tirap,2.0335986098,2414
1972 - 1976,Arunachal Pradesh,Upper Subansiri,1.8808012118,996
1972 - 1976,Arunachal Pradesh,West Kameng,1.9125868964,2670
1972 - 1976,Arunachal Pradesh,West Siang,1.9030589156,2977
1972 - 1976,Chandigarh,Chandigarh,2.0750371376494945,48877
1972 - 1976,Dadra And Nagar Haveli,Dadra And Nagar Haveli,2.27323234984489,3964
1972 - 1976,Daman And Diu,Daman,2.328583300783084,1703
1972 - 1976,Daman And Diu,Diu,2.346617521589503,833
1972 - 1976,Goa,North Goa,2.4609979016,31868
1972 - 1976,Goa,South Goa,2.4985451572,28785
1972 - 1976,Haryana,Ambala,2.329701270306816,38199
1972 - 1976,Haryana,Bhiwani,2.232838388481344,34050
1972 - 1976,Haryana,Faridabad,2.162708303230486,69328
1972 - 1976,Haryana,Gurgaon,2.1640984516020803,37675
1972 - 1976,Haryana,Hisar,2.1716645095918428,66125
1972 - 1976,Haryana,Jind,2.259305337599569,29179
1972 - 1976,Haryana,Kaithal,2.3321966447067006,26631
1972 - 1976,Haryana,Karnal,2.248939973356704,27029
1972 - 1976,Haryana,Kurukshetra,2.3897652961939966,22939
1972 - 1976,Haryana,Mahendragarh,2.2368145718729053,20507
1972 - 1976,Haryana,Panipat,2.2229027774785943,31568
1972 - 1976,Haryana,Rewari,2.1541567885752104,19018
1972 - 1976,Haryana,Rohtak,2.1585479768706684,59381
1972 - 1976,Haryana,Sirsa,2.3730267534247576,34794
1972 - 1976,Haryana,Sonipat,2.198044196619945,23878
1972 - 1976,Haryana,Yamunanagar,2.29629823796743,27501
1972 - 1976,Himachal Pradesh,Bilaspur,1.9669886328525903,10841
1972 - 1976,Himachal Pradesh,Chamba,1.8644984682573185,11627
1972 - 1976,Himachal Pradesh,Hamirpur,2.0883130750494905,13798
1972 - 1976,Himachal Pradesh,Kangra,2.049278533573343,49211
1972 - 1976,Himachal Pradesh,Kinnaur,1.9851183230601488,2555
1972 - 1976,Himachal Pradesh,Kullu,1.7996229760766755,7646
1972 - 1976,Himachal Pradesh,Lahaul And Spiti,2.059466412880857,771
1972 - 1976,Himachal Pradesh,Mandi,1.8865635451594012,25968
1972 - 1976,Himachal Pradesh,Shimla,1.937691892978032,21690
1972 - 1976,Himachal Pradesh,Sirmaur,2.01035034711276,13476
1972 - 1976,Himachal Pradesh,Solan,1.9433478120441638,15711
1972 - 1976,Himachal Pradesh,Una,2.1934826158112823,14805
1972 - 1976,Madhya Pradesh,Balaghat,2.3540344027930025,44841
1972 - 1976,Madhya Pradesh,Betul,2.195545080631544,36026
1972 - 1976,Madhya Pradesh,Bhind,2.339182950510417,40185
1972 - 1976,Madhya Pradesh,Bhopal,2.132363802336237,62328
1972 - 1976,Madhya Pradesh,Chhatarpur,2.103026308341972,33883
1972 - 1976,Madhya Pradesh,Chhindwara,2.2368082090650026,47814
1972 - 1976,Madhya Pradesh,Damoh,2.2992493106807568,30423
1972 - 1976,Madhya Pradesh,Datia,2.1486561375642657,10621
1972 - 1976,Madhya Pradesh,Dewas,2.2565511372455944,38116
1972 - 1976,Madhya Pradesh,Dhar,2.1498202168387905,45258
1972 - 1976,Madhya Pradesh,Guna,2.1879024032832217,40661
1972 - 1976,Madhya Pradesh,Gwalior,2.2636999441705767,36918
1972 - 1976,Madhya Pradesh,Hoshangabad,2.277678307613112,44001
1972 - 1976,Madhya Pradesh,Indore,2.22215591692493,53836
1972 - 1976,Madhya Pradesh,Jabalpur,1.9829361363572844,88721
1972 - 1976,Madhya Pradesh,Jhabua,1.8522198041443123,30904
1972 - 1976,Madhya Pradesh,Khandwa,2.244844661280444,48649
1972 - 1976,Madhya Pradesh,Khargone,2.1701868179395323,58688
1972 - 1976,Madhya Pradesh,Mandla,2.01643642089068,34907
1972 - 1976,Madhya Pradesh,Mandsaur,2.3165588027006074,49722
1972 - 1976,Madhya Pradesh,Morena,2.363170350951669,56547
1972 - 1976,Madhya Pradesh,Narsinghpur,2.0426335616353613,22104
1972 - 1976,Madhya Pradesh,Panna,2.1985032647175147,21035
1972 - 1976,Madhya Pradesh,Raisen,2.2859014496082763,31991
1972 - 1976,Madhya Pradesh,Rajgarh,2.2439602566676777,30103
