Year,State,District,GDP
1993,Andhra Pradesh,East Godavari,5742.1405265677295
1993,Andhra Pradesh,Vizianagaram,611.3919701969437
1993,Andhra Pradesh,Guntur,5177.086645249754
1993,Andhra Pradesh,Kurnool,1290.005717767837
1993,Andhra Pradesh,Visakhapatnam,5859.467718295921
1993,Andhra Pradesh,Prakasam,1369.2715490148646
1993,Andhra Pradesh,Krishna,3563.882752473067
1993,Andhra Pradesh,West Godavari,6620.147414546637
1993,Andhra Pradesh,Kadapa,1420.92034129421
1993,Andhra Pradesh,Anantapur,1241.257897428516
1993,Andhra Pradesh,Chittoor,2124.222616895841
1993,Andhra Pradesh,Srikakulam,767.8227739257994
1993,Andhra Pradesh,Nellore,1620.296604650398
1993,Haryana,Kurukshetra,3301.3873020539704
1993,Haryana,Ambala,2355.554359099146
1993,Haryana,Panchkula,2014.379234384409
1993,Haryana,Fatehabad,1682.6625555956934
1993,Haryana,Sonipat,2902.0516587315
1993,Haryana,Gurgaon,7820.473751337977
1993,Haryana,Sirsa,816.1420160320455
1993,Haryana,Bhiwani,1551.2587030477137
1993,Haryana,Faridabad,6887.2030649192
1993,Haryana,Panipat,2813.0369690543603
1993,Haryana,Yamunanagar,1286.1953350933766
1993,Haryana,Kaithal,1767.4565052157666
1993,Haryana,Jhajjar,1594.5395927517554
1993,Haryana,Jind,1356.1964047474835
1993,Haryana,Mahendragarh,1336.999832523514
1993,Haryana,Hisar,2423.655349671723
1993,Haryana,Rewari,2417.921237252333
1993,Haryana,Karnal,3469.3055131846645
1993,Haryana,Rohtak,2135.8223360989537
1993,Himachal Pradesh,Mandi,1281.2208978229144
1993,Himachal Pradesh,Una,716.5840770709075
1993,Himachal Pradesh,Hamirpur,2218.236911490052
1993,Himachal Pradesh,Kangra,612.7683084707603
1993,Himachal Pradesh,Bilaspur,881.6208345393726
1993,Himachal Pradesh,Kullu,806.0841916997078
1993,Himachal Pradesh,Kinnaur,477.38533975849975
1993,Himachal Pradesh,Chamba,601.8963319599561
1993,Himachal Pradesh,Solan,966.8074633747341
1993,Himachal Pradesh,Shimla,827.7155659653805
1993,Himachal Pradesh,Sirmaur,1195.2912436240624
1993,Madhya Pradesh,Khandwa,1386.4624148859248
1993,Madhya Pradesh,Raisen,1221.5129329130255
1993,Madhya Pradesh,Barwani,583.2242285721679
1993,Madhya Pradesh,Tikamgarh,630.6147125222517
1993,Madhya Pradesh,Sheopur,432.9859539455813
1993,Madhya Pradesh,Hoshangabad,572.051590586749
1993,Madhya Pradesh,Dindori,198.75869640159263
1993,Madhya Pradesh,Khargone,541.9387665335514
1993,Madhya Pradesh,Chhindwara,1502.4299953437067
1993,Madhya Pradesh,Rewa,1165.5540331694106
1993,Madhya Pradesh,Sehore,1158.7039365463813
1993,Madhya Pradesh,Jabalpur,2070.8978661135143
1993,Madhya Pradesh,Dewas,1057.728416576849
1993,Madhya Pradesh,Mandla,288.75902814335257
1993,Madhya Pradesh,Narsinghpur,1510.6524181156906
1993,Madhya Pradesh,Mandsaur,1474.0828113621294
1993,Madhya Pradesh,Seoni,1109.3942090921705
1993,Madhya Pradesh,Damoh,673.9604476067437
1993,Madhya Pradesh,Rajgarh,740.8265376328125
1993,Madhya Pradesh,Betul,804.3877841889687
1993,Madhya Pradesh,Chhatarpur,642.3699402697767
1993,Madhya Pradesh,Jhabua,436.8550945227812
1993,Madhya Pradesh,Satna,1133.273734840151
1993,Madhya Pradesh,Ujjain,1746.4564799207087
1993,Madhya Pradesh,Umaria,365.0517041146747
1993,Madhya Pradesh,Shajapur,1261.5147954337856
1993,Madhya Pradesh,Katni,1282.2142437762234
1993,Madhya Pradesh,Guna,1165.8848725893852
1993,Madhya Pradesh,Neemuch,1238.753834824779
1993,Madhya Pradesh,Ratlam,1058.9414205932105
1993,Madhya Pradesh,Morena,1181.0636124646048
1993,Madhya Pradesh,Bhind,945.7643200720328
1993,Madhya Pradesh,Shivpuri,1165.4268122380695
1993,Madhya Pradesh,Bhopal,1354.5541809085491
1993,Madhya Pradesh,Panna,474.3052115033275
1993,Madhya Pradesh,Vidisha,1163.2026924261686
1993,Madhya Pradesh,Indore,6135.825765999392
1993,Madhya Pradesh,Balaghat,604.5961071540895
1993,Madhya Pradesh,Gwalior,1201.701592216092
1993,Madhya Pradesh,Sidhi,1807.5909933616608
1993,Madhya Pradesh,Dhar,1167.3111009005015
1993,Madhya Pradesh,Shahdol,1061.846718035786
1993,Madhya Pradesh,Datia,514.7634778933323
1993,Madhya Pradesh,Sagar,1091.4012873216943
1993,Madhya Pradesh,Harda,596.7347867745267
1993,Manipur,Senapati,467.22930839476
1993,Manipur,Ukhrul,335.63396971874994
1993,Manipur,Churachandpur,416.1148829673911
1993,Manipur,Imphal West,904.5976626688471
1993,Manipur,Thoubal,609.7657431014368
1993,Manipur,Tamenglong,179.19402916423238
1993,Manipur,Imphal East,958.3597032453947
1993,Manipur,Bishnupur,823.0036927761066
1993,Manipur,Chandel,257.40779543770685
1993,Meghalaya,West Garo Hills,385.7313847690857
1993,Meghalaya,East Garo Hills,248.79975950693742
1993,Meghalaya,West Khasi Hills,344.7950267103968
1993,Meghalaya,South Garo Hills,418.2551870928331
1993,Meghalaya,East Jaintia Hills,618.0887781600967
1993,Meghalaya,Ri Bhoi,514.1513731447436
1993,Meghalaya,East Khasi Hills,993.70594110534
1993,Mizoram,Champhai,220.91716456133548
1993,Mizoram,Lawngtlai,176.66723086357175
1993,Mizoram,Aizawl,466.7858090405861
