Year,State,District,People,Avg. Syllabic Count
1993,Andhra Pradesh,Anantapur,79012,2.389105452336354
1993,Andhra Pradesh,Chittoor,57325,1.941648495420846
1993,Andhra Pradesh,East Godavari,85874,2.8879404709225143
1993,Andhra Pradesh,Guntur,81195,2.8036578607057083
1993,Andhra Pradesh,Kadapa,43471,2.8342573209726023
1993,Andhra Pradesh,Krishna,68163,2.743863973123249
1993,Andhra Pradesh,Kurnool,64426,2.142194145220873
1993,Andhra Pradesh,Nellore,44309,2.856259450675936
1993,Andhra Pradesh,Prakasam,47473,2.9566490426136967
1993,Andhra Pradesh,Srikakulam,47123,2.9880313222842347
1993,Andhra Pradesh,Visakhapatnam,66401,2.8450926943871333
1993,Andhra Pradesh,Vizianagaram,38462,2.9789922520929752
1993,Andhra Pradesh,West Godavari,67002,2.8473776902182024
1993,Haryana,Ambala,11266,3.0577844842890114
1993,Haryana,Bhiwani,23682,2.839667257832953
1993,Haryana,Faridabad,29828,2.8404183988199008
1993,Haryana,Fatehabad,15921,3.052948935368381
1993,Haryana,Gurgaon,17693,2.8112247781608546
1993,Haryana,Hisar,19190,2.8413757165190203
1993,Haryana,Jhajjar,13573,2.795992043026597
1993,Haryana,Jind,18668,2.8602956931647743
1993,Haryana,Kaithal,15720,2.9560432569974555
1993,Haryana,Karnal,20806,2.8628760934345863
1993,Haryana,Kurukshetra,15370,3.020754716981132
1993,Haryana,Mahendragarh,14271,2.8545301660710534
1993,Haryana,Panchkula,6342,2.9608956165247555
1993,Haryana,Panipat,18217,2.787121919086568
1993,Haryana,Rewari,12810,2.805152224824356
1993,Haryana,Rohtak,14804,2.784517697919481
1993,Haryana,Sirsa,20280,3.1348619329388563
1993,Haryana,Sonipat,17837,2.7717104894320794
1993,Haryana,Yamunanagar,9469,2.9662055127257365
1993,Himachal Pradesh,Bilaspur,5018,2.759266640095656
1993,Himachal Pradesh,Chamba,6351,2.66383246732798
1993,Himachal Pradesh,Hamirpur,28334,2.9354132843933085
1993,Himachal Pradesh,Kangra,17887,2.799183764745346
1993,Himachal Pradesh,Kinnaur,793,2.7831021437578816
1993,Himachal Pradesh,Kullu,5667,2.632433386271396
1993,Himachal Pradesh,Mandi,9636,2.6642797841427983
1993,Himachal Pradesh,Shimla,7521,2.7665204095200107
1993,Himachal Pradesh,Sirmaur,4907,2.8418585693906664
1993,Himachal Pradesh,Solan,5168,2.8808049535603715
1993,Himachal Pradesh,Una,5175,2.8894685990338163
1993,Madhya Pradesh,Balaghat,30062,3.1830217550395847
1993,Madhya Pradesh,Barwani,20556,2.9718330414477525
1993,Madhya Pradesh,Betul,27982,3.003537988707026
1993,Madhya Pradesh,Bhind,22644,3.0295000883236183
1993,Madhya Pradesh,Bhopal,37071,2.8408459442691054
1993,Madhya Pradesh,Chhatarpur,25500,3.2173333333333334
1993,Madhya Pradesh,Chhindwara,33201,3.1326767266046205
1993,Madhya Pradesh,Damoh,19509,3.0184017632887383
1993,Madhya Pradesh,Datia,12521,3.021404041210766
1993,Madhya Pradesh,Dewas,22829,2.916509702571291
1993,Madhya Pradesh,Dhar,31390,2.9878942338324306
1993,Madhya Pradesh,Dindori,5079,3.0882063398306747
1993,Madhya Pradesh,Guna,17013,2.8774466584376652
1993,Madhya Pradesh,Gwalior,28988,2.8780184904098247
1993,Madhya Pradesh,Harda,9265,2.9477603885590935
1993,Madhya Pradesh,Hoshangabad,18378,2.9592991620415714
1993,Madhya Pradesh,Indore,48914,2.8270638263073966
1993,Madhya Pradesh,Jabalpur,24878,2.8248653428732213
1993,Madhya Pradesh,Jhabua,22903,2.7514299436755008
1993,Madhya Pradesh,Katni,21944,2.822548304775793
1993,Madhya Pradesh,Khandwa,22256,2.972816319194824
