Year,State,District,People,AvgSyllabicCount
1972,Andaman And Nicobar Islands,Nicobar,443,2.233
1972,Andaman And Nicobar Islands,North And Middle Andaman,1179,2.475
1972,Andaman And Nicobar Islands,South Andaman,2267,2.439
1972,Andhra Pradesh,Anantapur,37773,3.391
1972,Andhra Pradesh,Chittoor,24028,3.158
1972,Andhra Pradesh,East Godavari,58523,3.631
1972,Andhra Pradesh,Guntur,42977,3.407
1972,Andhra Pradesh,Kadapa,33512,3.309
1972,Andhra Pradesh,Krishna,38321,3.366
1972,Andhra Pradesh,Kurnool,29797,3.162
1972,Andhra Pradesh,Nellore,35756,3.328
1972,Andhra Pradesh,Prakasam,26629,3.477
1972,Andhra Pradesh,Srikakulam,22048,3.375
1972,Andhra Pradesh,Visakhapatnam,56149,3.291
1972,Andhra Pradesh,Vizianagaram,26468,3.399
1972,Andhra Pradesh,West Godavari,31996,3.572
1972,Arunachal Pradesh,Anjaw,169,2.586
1972,Arunachal Pradesh,Changlang,919,2.107
1972,Arunachal Pradesh,Dibang Valley,46,2.13
1972,Arunachal Pradesh,East Kameng,562,1.918
1972,Arunachal Pradesh,East Siang,883,2.084
1972,Arunachal Pradesh,Kurung Kumey,759,1.776
1972,Arunachal Pradesh,Lohit,413,2.339
1972,Arunachal Pradesh,Longding,463,1.994
1972,Arunachal Pradesh,Lower Dibang Valley,415,2.198
1972,Arunachal Pradesh,Lower Subansiri,1027,1.845
1972,Arunachal Pradesh,Namsai,699,2.355
1972,Arunachal Pradesh,Papum Pare,1893,2.046
1972,Arunachal Pradesh,Tawang,440,1.839
1972,Arunachal Pradesh,Tirap,599,2.025
1972,Arunachal Pradesh,Upper Siang,221,1.955
1972,Arunachal Pradesh,Upper Subansiri,475,1.878
1972,Arunachal Pradesh,West Kameng,729,1.872
1972,Arunachal Pradesh,West Siang,1443,1.893
1972,Chandigarh,Chandigarh,6427,2.045
1972,Dadra And Nagar Haveli,Dadra And Nagar Haveli,4066,2.266
1972,Daman And Diu,Daman,1250,2.316
1972,Daman And Diu,Diu,563,2.332
1972,Goa,North Goa,9655,2.471
1972,Goa,South Goa,10598,2.505
1972,Haryana,Ambala,9225,2.27
1972,Haryana,Bhiwani,15098,2.206
1972,Haryana,Faridabad,24561,2.163
1972,Haryana,Fatehabad,9282,2.279
1972,Haryana,Gurgaon,17399,2.192
1972,Haryana,Hisar,12333,2.213
1972,Haryana,Jhajjar,11128,2.248
1972,Haryana,Jind,12445,2.208
1972,Haryana,Kaithal,11723,2.319
1972,Haryana,Karnal,14483,2.237
1972,Haryana,Kurukshetra,11513,2.293
1972,Haryana,Mahendragarh,9003,2.215
1972,Haryana,Mewat,8849,2.358
1972,Haryana,Palwal,9673,2.262
1972,Haryana,Panchkula,5655,2.153
1972,Haryana,Panipat,12008,2.142
1972,Haryana,Rewari,9059,2.126
1972,Haryana,Rohtak,13496,2.148
1972,Haryana,Sirsa,14177,2.346
1972,Haryana,Sonipat,14335,2.204
1972,Haryana,Yamunanagar,6721,2.256
1972,Himachal Pradesh,Bilaspur,4622,1.996
1972,Himachal Pradesh,Chamba,5716,1.858
1972,Himachal Pradesh,Hamirpur,6365,2.115
1972,Himachal Pradesh,Kangra,18551,2.052
1972,Himachal Pradesh,Kinnaur,1000,2.009
1972,Himachal Pradesh,Kullu,4743,1.805
1972,Himachal Pradesh,Lahaul And Spiti,351,2.041
1972,Himachal Pradesh,Mandi,9579,1.848
1972,Himachal Pradesh,Shimla,8354,1.885
1972,Himachal Pradesh,Sirmaur,4141,2.031
1972,Himachal Pradesh,Solan,4980,1.908
1972,Himachal Pradesh,Una,5083,2.234
1972,Madhya Pradesh,Agar Malwa,2619,2.14
1972,Madhya Pradesh,Alirajpur,2827,1.911
1972,Madhya Pradesh,Anuppur,9613,2.315
1972,Madhya Pradesh,Ashoknagar,8674,2.144
1972,Madhya Pradesh,Balaghat,17575,2.37
1972,Madhya Pradesh,Barwani,8231,1.978
1972,Madhya Pradesh,Betul,13186,2.18
1972,Madhya Pradesh,Bhind,10924,2.347
1972,Madhya Pradesh,Bhopal,20205,2.15
1972,Madhya Pradesh,Burhanpur,9482,2.303
1972,Madhya Pradesh,Chhatarpur,20910,2.086
1972,Madhya Pradesh,Chhindwara,17469,2.259
1972,Madhya Pradesh,Damoh,10828,2.29
1972,Madhya Pradesh,Datia,8273,2.224
1972,Madhya Pradesh,Dewas,20295,2.228
1972,Madhya Pradesh,Dhar,10252,2.215
1972,Madhya Pradesh,Dindori,3051,2.058
1972,Madhya Pradesh,Guna,12115,2.165
1972,Madhya Pradesh,Gwalior,32605,2.293
1972,Madhya Pradesh,Harda,4786,2.383
1972,Madhya Pradesh,Hoshangabad,11582,2.297
1972,Madhya Pradesh,Indore,34478,2.295
1972,Madhya Pradesh,Jabalpur,26437,1.889
1972,Madhya Pradesh,Jhabua,9007,1.908
