Year,State,District,People,AvgSyllabicCount,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Name9,Name10
1972,Andaman And Nicobar Islands,Nicobar,443,2.233,John,Mary,Monica,Christina,Samuel,Peter,Justin,Dorothy,James,Susana
1972,Andaman And Nicobar Islands,North And Middle Andaman,1179,2.475,Krishna,Sumitra,Anil,Swapan,Anita,Anjali,Ajit,Sukumar,Naw,Sabita
1972,Andaman And Nicobar Islands,South Andaman,2267,2.439,Abdul,Mohammed,Krishna,Anita,Rajesh,Shri,Ram,Sunita,Sanjay,Anil
1972,Andhra Pradesh,Anantapur,37773,3.391,Lakshmidevi,Shaik,Lakshmi,Gangamma,Jayamma,Nagaraju,Rathnamma,Sreenivasulu,Lakshmamma,Nagamma
1972,Andhra Pradesh,Chittoor,24028,3.158,Subramanyam,Shaik,Lakshmi,Munemma,Vijaya,Lakshmamma,Sreenivasulu,Ravi,Dhanamjay,Rathnamma
1972,Andhra Pradesh,East Godavari,58523,3.6310000000000002,Lakshmi,Satyavathi,Sathyanarayan,Nagamani,Venkata,Venkatalakshmi,Srinivasarao,Satyanarayana,Venkataramana,Rambabu
1972,Andhra Pradesh,Guntur,42977,3.407,Srinivasarao,Venkata,Lakshmi,Srinivasa,Padma,Ramana,Vijaya,Enkateshwarlu,Padamavathi,Siva
1972,Andhra Pradesh,Kadapa,33512,3.3089999999999997,Venkata,Lakshmidevi,Lakshmi,Sreenivasulu,Chinna,Mahaboob,Subbamma,Subbarayudu,Ramanamma,Venkatasubbamma
1972,Andhra Pradesh,Krishna,38321,3.366,Venkata,Lakshmi,Srinivasarao,Srinivasa,Vijaya,Nagamani,Padma,Venkateswara,Kumari,Venkateshwararao
1972,Andhra Pradesh,Kurnool,29797,3.162,Lakshmi,Lakshmidevi,Shaik,Chinna,Bhaanu,Venkata,Jayamma,Sreenivasulu,Kuruva,Eeramma
1972,Andhra Pradesh,Nellore,35756,3.3280000000000003,Ramanamma,Sreenivasulu,Ramanaiah,Venkata,Enkateshwarlu,Subbamma,Bujjamma,Lakshmamma,Lakshmi,Padmamma
1972,Andhra Pradesh,Prakasam,26629,3.477,Venkata,Srinivasarao,Enkateshwarlu,Lakshmi,Anjamma,Ramanamma,Padma,Subbarao,Sreenivasulu,Venkateswarlu
1972,Andhra Pradesh,Srikakulam,22048,3.375,Lakshmi,Ramarao,Ramanamma,Simhachalam,Parvathi,Apparao,Srinivasarao,Venkataramana,Krishnarao,Chinnammadu
